37;83;24;19;37;41;"41;"
59;77;43;43;118;38;"38;"
6;65;40;22;6;130;"130;"
63;77;76;8;63;51;"51;"
74;47;97;26;222;23;"23;"
48;24;17;7;24;36;"36;"
27;39;77;35;27;13;"13;"
35;41;6;21;52;41;"41;"
46;32;95;3;23;32;"32;"
34;43;72;42;17;43;"43;"
2;57;76;39;4;57;"57;"
61;90;53;26;61;135;"135;"
89;95;54;7;89;95;"95;"
9;64;76;12;9;21;"21;"
38;60;40;25;12;180;"180;"
89;49;74;2;44;49;"49;"
7;87;92;45;4;261;"261;"
15;34;76;21;10;51;"51;"
3;54;48;25;3;27;"27;"
55;87;22;23;55;261;"261;"
10;72;80;47;6;108;"108;"
59;24;45;50;59;24;"24;"
1;12;39;14;3;12;"12;"
37;8;44;4;37;8;"8;"
14;7;80;25;14;10;"10;"
33;7;47;41;22;21;"21;"
32;67;83;33;16;134;"134;"
7;42;92;2;10;28;"28;"
41;31;35;50;41;31;"31;"
77;43;41;38;77;86;"86;"
20;16;63;40;13;48;"48;"
61;57;19;31;30;85;"85;"
84;79;94;25;252;158;"158;"
83;56;41;26;41;28;"28;"
96;85;46;7;64;85;"85;"
30;14;35;15;20;21;"21;"
29;21;74;35;29;14;"14;"
50;54;55;42;50;54;"54;"
74;80;21;27;24;53;"53;"
13;98;40;37;8;294;"294;"
38;30;50;42;57;30;"30;"
87;84;31;12;43;84;"84;"
71;76;73;29;35;228;"228;"
9;12;17;44;4;24;"24;"
77;81;73;47;77;27;"27;"
48;33;39;27;144;16;"16;"
41;79;45;50;41;52;"52;"
18;89;93;5;18;59;"59;"
75;37;21;49;112;37;"37;"
98;81;51;21;98;81;"81;"
51;22;57;6;51;66;"66;"
93;9;20;40;93;6;"6;"
98;41;83;19;98;41;"41;"
34;1;72;32;102;1;"1;"
9;58;43;49;3;58;"58;"
23;36;58;21;34;108;"108;"
53;5;40;30;53;2;"2;"
95;62;66;49;285;62;"62;"
23;91;62;14;11;91;"91;"
37;27;38;8;37;13;"13;"
75;39;51;13;50;19;"19;"
23;69;80;17;7;69;"69;"
21;92;59;38;21;276;"276;"
37;45;93;18;55;90;"90;"
96;82;11;9;32;82;"82;"
61;29;49;19;183;29;"29;"
9;6;3;42;9;9;"9;"
65;60;45;50;32;60;"60;"
94;82;93;48;62;123;"123;"
85;72;38;43;56;144;"144;"
12;18;89;10;36;18;"18;"
41;2;42;6;123;1;"1;"
